11:49911,49818,50282,49603,49535,50576,50734,50748,50840,50919,49078,50931,50969,50972,51051,51058,51107,51122,51155,51157,51174,51178,51181,51186,51186,51189,51192,51192,51192,51218,51223,51225,51227,51232,51239,51240,51244,51249,51252,48745,51289,51296,48426,47787,47665,47386,47350,47073,46968,43263,40362,36336,30133,25572,23035,19345,14557,14102,6415,0,-1,-1,-1,0,-1,-1,-1,-1,343,-1,-1,-1,0,0,1309,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,4,0,-1,-1,0,-1,0,-1,-1,0
12:49744,49564,50549,50551,50817,49139,50861,49104,50951,50955,50960,50968,50973,51019,51067,51083,51091,51091,48899,51119,51119,51122,51132,51135,51136,51155,51156,51167,51176,51177,51192,51215,51220,51225,51226,51252,51256,51262,51319,51332,48102,47541,46986,38615,38524,37526,37111,37035,30933,27784,27332,24562,22491,22024,11313,4277,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,-1,331,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1
13:50614,50811,51114,51134,51140,51141,51154,51164,51182,51188,51190,48792,51227,51227,51248,51332,48503,47534,44446,40315,40001,34346,33677,70004,22523,21990,21060,19160,18789,18729,15056,10031,3260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,3,0,0,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1
14:50207,50327,49590,50496,50513,50780,50793,50832,50838,50993,51003,51020,51081,51088,51118,51122,51127,51157,51173,51175,51181,51191,51192,51192,51212,51227,51241,51332,51332,51332,51332,51332,46231,40007,33348,24878,21755,20891,20100,18393,17521,15632,12528,12183,9760,7583,5446,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1
15:50472,50522,50862,50867,50901,50905,50936,50951,51004,51103,51104,51151,51157,51157,51179,51184,51191,51192,51192,51206,51214,51221,51227,51247,48725,51332,48366,47650,52652,46970,44488,38863,35530,33029,29674,24386,5895,3362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
16:49938,49933,50104,50126,49854,49791,49771,50393,49599,49546,50482,50590,50620,49379,49342,50678,49274,50822,50837,50937,49056,50983,50987,51018,51054,48932,51119,48860,51141,51157,51181,51191,51192,51267,51296,51297,51332,51332,51332,48614,48543,48490,48103,47181,47013,46698,46185,45655,45308,45297,44673,44521,44180,43698,43071,42869,42633,42594,41992,41640,41463,41357,41093,39201,36612,36503,34719,34280,29403,27666,27428,26952,22920,21519,18035,14822,12998,11251,8503,8282,7884,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1
17:49999,50031,49850,50176,50180,49652,49580,49550,50471,50536,50550,50570,50585,50672,49241,50838,50843,50889,50902,50910,50911,50964,50971,51013,51065,51098,51108,51137,51155,51157,51157,51157,51165,51177,51190,51192,51192,51192,51192,51199,51222,51225,51247,51249,51321,51331,51332,51332,48633,51373,51554,47416,47142,46680,45770,45663,45411,45283,41565,41380,39289,37465,37064,32674,31396,30209,26188,25193,19421,17140,9330,8424,6116,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,1339,-1,-1,0,0,-1,-1,0,0,-1
18:49931,49910,49876,50217,49782,49733,50325,50447,50608,50780,50791,50815,50856,50879,49115,50885,50895,50926,50940,49040,51007,48990,51028,51063,51097,51111,51122,51153,51162,51170,51181,51183,51191,51192,51192,51192,51192,51202,51216,51220,51222,51243,51261,51312,51328,51332,51332,51484,48487,48425,52158,47836,47573,47458,47272,47266,47212,47188,46558,46304,44937,44801,44603,44046,42870,41517,41267,40885,40743,40637,38755,37747,37109,36851,36449,35813,30245,29674,26602,22253,20395,19932,19351,17975,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1
19:49907,49810,49732,50311,49679,50363,50610,50825,50858,50867,50876,50900,50934,50958,50968,50993,51000,51041,51043,48902,48893,51111,51122,51157,51157,51169,51172,51173,51174,51186,51190,51191,51203,51258,51281,51400,51410,48437,51602,48361,48259,48044,47448,47239,47020,46886,46135,46093,45963,45914,45804,44816,43157,42457,42437,39063,37929,37918,36007,33896,33719,33222,33069,30522,30280,29774,27974,26904,25452,24995,22736,21959,18249,14582,13016,12411,11945,11786,3232,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1
20:50003,50099,49855,49786,49630,49618,50616,50620,50715,50720,50730,49230,50829,50904,50913,50917,50919,51108,51152,51157,51172,51175,51191,51198,51235,51235,48697,48696,48659,51392,51481,48246,48188,47839,52200,45942,45690,45556,44724,44294,44230,43946,43942,43932,43671,43594,43526,43150,42255,42228,42047,41548,41505,40326,39935,38591,37596,37405,36287,35796,35783,34910,34000,33999,33251,33013,32792,30890,30383,29201,29001,28370,26772,25875,25182,22301,19967,18130,17846,15965,14213,12176,11458,9355,8768,8608,7189,0,-1,-1,0,0,0,-1,-1,0,7,0,-1,0
21:49809,50352,49594,49558,49448,50602,50613,50725,50755,50841,49073,49049,49047,50983,51047,51051,51058,51123,51126,48853,51154,51155,51156,51192,51192,51231,48766,51247,51248,51296,51332,48570,48513,48499,48392,48237,48050,47961,47552,47491,47024,46101,45321,45154,43969,43869,43509,43505,43186,43009,42423,41935,41920,41772,40253,39030,38974,38343,38064,37093,36703,36405,36065,35867,34767,34710,33090,31750,28961,28938,28810,28112,26819,26712,25487,20919,18039,17924,17639,16347,14830,13073,11511,8329,5388,26,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0
22:49929,49906,50155,50304,49575,50495,50604,50719,50727,49246,49146,50897,50910,50911,50937,50949,50998,51069,51112,51157,51157,51157,51182,51182,51190,48713,48227,48140,47170,46669,46529,46328,46189,46134,45626,45573,45429,44989,44251,44215,43708,43215,56936,41710,41144,40597,40206,38977,38584,38140,38045,37204,36840,35779,35047,33510,33452,33420,33030,32734,31994,31319,30321,29869,29552,29306,28313,27926,27674,27560,24997,24115,23439,22895,22083,21883,21403,19655,17753,16793,16484,16427,15505,14526,13646,12489,7899,-1,-1,0,-1,-1,0,0,0,0,0,235,0,-1
23:50246,50360,50374,50392,50464,49484,49434,50619,50637,49339,50665,49295,50735,50805,50924,50982,50985,51012,51018,51049,51063,51080,51095,51097,51114,51152,51157,51157,51157,51157,51173,51175,51175,51178,51180,51191,51192,51192,51217,51316,51332,51414,48579,51433,47930,47704,47250,46428,46336,45993,45831,45729,45724,45668,45386,45169,45025,43871,43161,42561,41916,39948,38818,38717,37635,36884,36664,35981,35962,35524,33867,33758,32143,30370,30270,29287,28168,28132,25398,24335,22266,20845,18757,16350,15174,13524,11790,-1,-1,-1,-1,0,0,-1,0,0,32,-1,0,-1
24:50013,49939,49878,50150,50157,49699,50345,49623,50381,49595,50441,49555,50487,50528,49425,50635,49365,50665,50739,49207,50958,50985,50993,51035,51099,51119,51122,51138,51138,51143,51144,51156,51156,51157,51157,51160,51168,51172,51182,51224,51226,51227,48759,51332,51332,51466,48416,51663,48157,52032,47914,47273,47042,46483,53888,45066,44035,42834,42496,41695,40193,38783,35585,34943,31811,31758,28919,27306,23520,23178,23067,21741,18356,15550,-1,-1,-1,-1,-1,3,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1
25:50037,49886,50298,49632,49586,49484,50551,50638,50640,50672,50712,50733,50753,50856,50859,50905,50961,51032,51036,51041,51100,51102,51118,51133,51150,48847,51157,51157,51173,51187,51192,51205,51213,51218,51227,48758,51267,51332,51332,51406,48533,51580,51709,48178,48139,47859,46216,45402,45064,44162,42251,41626,41541,39890,36024,35986,35572,35511,35261,34867,34312,32835,32527,32238,29948,28172,27196,26996,25541,24383,24297,17294,16929,16136,9368,7824,7574,-1,0,0,0,0,673,0,-1,-1,100,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1
26:49970,50108,49856,50154,50158,50203,50236,50288,49663,49422,50612,50659,50716,50726,49170,50856,49041,50972,50987,51009,48958,51043,48920,51119,51148,51156,51157,51157,51190,51191,51192,51192,51192,51197,51223,48763,51241,51256,51294,51325,51329,48654,48650,48559,48499,51512,52111,47711,47702,47405,47324,47185,47161,46968,46876,46634,45908,45241,45004,44956,43347,43272,42045,58178,40822,39310,38571,38050,37892,37302,35129,34966,34150,30380,30360,20503,14118,5346,0,0,-1,-1,0,-1,-1,0,0,-1,0,45,0,-1,-1,0,-1,0,0,-1,0,-1
27:50061,50086,49872,50221,50225,50272,49688,50320,50381,50456,49539,49407,50618,50822,50827,50895,49091,50966,50968,50988,49012,49001,51003,51019,51059,51092,51118,51121,51123,51152,51157,51157,51157,51175,48824,51192,51226,51227,51227,51245,51249,51252,51294,51303,48679,51331,51332,51332,51416,51661,48116,48079,47661,47602,46957,53111,46457,46375,45833,45799,45545,45519,45182,44841,44527,44309,41959,41159,40678,40484,35713,30975,30789,24654,23811,20718,19938,18097,16877,13752,11332,10467,8925,8000,7801,-1,-1,-1,-1,0,-1,-1,0,0,0,24,-1,0,0,-1
28:49998,50200,50248,50300,50305,49673,49643,50389,50451,50555,50577,50638,50708,50734,50836,50872,50914,50936,50979,51029,51093,51115,51119,51120,51138,51140,51154,51155,51157,51159,51174,51182,51189,51191,51192,51192,51192,51192,51198,51208,51212,51216,51219,51219,51221,51226,51227,51289,51330,48607,51408,48510,48445,48296,47992,47946,47516,47016,46903,46269,46073,45887,45522,45161,44534,44364,43378,42723,42003,39885,39430,36342,30655,30242,29117,20846,10581,10509,3208,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1
